id,latitude,longitude,elevation
7100,48.4667,-5.1333,35
82795,-7.2167,-35.8833,548
EGNJ0,53.5833,-0.35,31
WLH1H,47.6975,-111.9429,1179
76904,14.7943,-92.3698,29
43097,18.8167,82.7167,0
94942,-35.1,150.1,630
47855,32.9167,129.9167,2
98746,7.1667,124.2167,58
14219,45.6,14.6333,863
48936,18.2,101.2,0
10546,50.6333,10.15,487
67308,-22.0833,31.6833,452
71056,66,-117.7667,185
6WUTJ,61.114,10.467,210
72628,46.34,-87.38,372
83635,-20.1667,-44.8667,789
69146,37,35.4333,73
KHYA0,41.6693,-70.2804,17
95768,-32.9167,151.75,8
UHBB0,50.4167,127.4,194
D3179,49.666,10.3851,317
60160,33.5,-5.1667,1664
91202,10.2,139.8,2
SAVD0,-42.0333,-71.1667,720
94778,-29.7333,151.7333,1062
10658,50.2,10.0833,262
7381,46.0678,4.4453,908
7088,49.2333,5.6667,234
47784,34.15,131.45,17
99229,29.3,-77.3,3
68299,-25.9667,31.25,1099
6760,46.1667,8.7833,366
71271,46.3167,-79.4667,204
78721,14.3667,-87.6167,628
1020,76.4775,16.5486,10
11652,50.0167,15.7333,225
94283,-15.4333,145.1833,8
42655,23.55,74.45,0
D0359,49.1023,11.7958,463
D1332,48.4832,12.7241,472
44207,50.4333,100.15,1669
94611,-30.6333,116,203
68570,-30.35,28.8,1492
43233,14.2333,76.4333,724
7791,42.8,9.4833,111
GAY51,49.76,-125,81
86853,-21.1011,-41.0389,80
92045,-3.9,141.1833,79
63453,8.8333,39.7833,1062
41023,21.65,39.1,2
KPSC0,46.2647,-119.119,125
47567,38.2333,140.9167,7
72521,40.9167,-81.45,374
72291,33.2333,-119.4667,154
DVHZR,49.3608,12.4477,420
40665,32.1667,46.05,15
29768,54.1917,91.5833,251
99549,44.2167,-55.6,-9999
41407,15.4333,45.3333,1070
B70Y8,58.67,-69.96,37
16459,37.4,14.9167,22
68592,-29.6017,31.13,105
38684,39.3167,63.2,0
83423,-16.6667,-49.25,741
72293,32.8667,-117.15,146
NYY2X,62.508,6.076,17
KJWG0,35.8647,-98.4207,473
95746,-31.5,150.7,390
28517,55.7167,53.0667,0
3261,54.1333,-1.4167,36
63658,1.7167,33.6167,1132
KGAD0,33.9726,-86.0891,173
D1297,51.2041,10.0138,156
CWVE0,45.2333,-74.1,46
D2787,49.2428,9.6786,354
67580,-13.65,32.5667,1025
MMSD0,23.1518,-109.7207,109
GUXN0,10.394,-9.3038,376
94258,-17.2,137.9333,60
99653,52.4167,-129.8,0
94895,-36.3167,146.6667,330
71368,43.46,-80.38,322
4193,65.2167,-14.2667,948
26233,58.3667,25.6,0
8925,42.6281,0.46,2150
82212,-2.5333,-66.1667,55
71715,47.81,-69.55,146
83319,-14.7,-52.35,315
37169,43.6,46.7833,3
37801,40.35,45.1333,0
OIMJ0,36.4253,55.1042,1285
41114,18.3,42.8,2066
45006,22.2833,114.1167,76
28128,58.7667,56.2,0
74200,48.47,-122.42,43
16738,36.7167,24.45,182
30054,59.45,112.5833,193
10643,49.95,8.9667,133
94838,-35.7,142.4,84
43121,17.35,76.85,457
80091,7.0167,-73.8,126
71950,54.83,-127.18,523
16744,36.4167,25.4333,40
KECP0,30.3582,-85.7956,21
KCPF0,37.3874,-83.2616,383
KPVE0,35.6564,-88.1954,149
3415,52.8,-2.6833,74
40747,35.3333,47,1373
2267,63.4,18.9667,103
48070,20.55,99.2667,572
3605,51.7167,-4.3667,3
83980,-31.3333,-54.1,242
94174,-10.6,142.2,5
42220,28.1,95.3833,155
28448,56.5167,60.8333,266
68494,-29.15,31.4,112
81755,-3.1208,-40.0869,76
15335,45.1833,28.8167,4
21931,70.7667,136.2167,22
38856,38.4167,70.7833,1284
11546,48.9519,14.4697,395
K1A60,36.6106,-83.7374,352
MOLP6,56.008,-161.16,4
D7350,49.1088,12.8231,588
28233,58.3,59.75,268
10425,51.4833,7.9,242
63126,11.6,43.15,7
83872,-26.9,-49.2167,68
74G4K,58.601,8.417,162
PTKXA,28.5208,-88.2889,36
42273,27.5667,81.6,122
41640,31.55,74.3333,214
29467,56.2833,90.5,272
42727,23.7333,92.7167,0
93745,-44.04,170.3819,730
16136,44.0167,11,1313
KSNT0,44.2086,-114.9344,1980
Z7ZOG,44.54828,-95.08042,312
OZNF7,30.47806,-87.18694,38
1232,63.2,9,47
22105,68.3833,30.75,91
13009,46.0333,13.8667,1070
35535,48.4667,58.5833,404
8934,42.7,0.95,1880
40179,32,34.8167,30
94978,-43.1667,147.8333,192
93581,-41.3489,173.9569,23
D4997,50.9771,12.3419,196
99221,46.1,-131,3
71609,45.32,-65.89,109
8181,41.2833,2.0667,4
5Q3O4,50.2891,7.0888,340
17128,40.1167,32.9833,953
53942,35.75,109.4167,1000
47600,37.3833,136.9,5
10704,49.2833,6.6833,363
KEFC0,44.7346,-103.8618,972
